data_level,dname,grade,subject,group,year_data,year_created,d,nm,rm
district,TYLER ISD,3,read,all,2025,2025,1304,583,0.45
district,WHITEHOUSE ISD,3,read,all,2025,2025,375,248,0.66
district,CHAPEL HILL ISD,3,read,all,2025,2025,229,101,0.44
district,WINONA ISD,3,read,all,2025,2025,88,22,0.25
district,GLEN ROSE ISD,3,read,all,2025,2025,147,66,0.45
district,RIO GRANDE CITY GRULLA ISD,3,read,all,2025,2025,634,297,0.47
district,SAN ISIDRO ISD,3,read,all,2025,2025,9,2,0.22
district,ROMA ISD,3,read,all,2025,2025,393,314,0.8
district,BRECKENRIDGE ISD,3,read,all,2025,2025,103,39,0.38
district,STERLING CITY ISD,3,read,all,2025,2025,23,15,0.65
district,ASPERMONT ISD,3,read,all,2025,2025,12,5,0.42
district,SONORA ISD,3,read,all,2025,2025,57,20,0.35
district,HAPPY ISD,3,read,all,2025,2025,21,12,0.57
district,TULIA ISD,3,read,all,2025,2025,32,6,0.19
district,KRESS ISD,3,read,all,2025,2025,16,6,0.38
district,TREETOPS SCHOOL INTERNATIONAL,3,read,all,2025,2025,26,17,0.65
district,ARLINGTON CLASSICS ACADEMY,3,read,all,2025,2025,173,109,0.63
district,FORT WORTH ACADEMY OF FINE ARTS,3,read,all,2025,2025,37,33,0.89
district,WESTLAKE ACADEMY CHARTER SCHOOL,3,read,all,2025,2025,57,43,0.75
district,EAST FORT WORTH MONTESSORI ACADEMY,3,read,all,2025,2025,23,13,0.57
district,TEXAS SCHOOL OF THE ARTS,3,read,all,2025,2025,64,42,0.66
district,CHAPEL HILL ACADEMY,3,read,all,2025,2025,53,22,0.42
district,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,3,read,all,2025,2025,214,108,0.5
district,ROCKETSHIP PUBLIC SCHOOLS,3,read,all,2025,2025,82,10,0.12
district,ARLINGTON ISD,3,read,all,2025,2025,3721,1257,0.34
district,BIRDVILLE ISD,3,read,all,2025,2025,1571,659,0.42
district,EVERMAN ISD,3,read,all,2025,2025,346,126,0.36
district,FORT WORTH ISD,3,read,all,2025,2025,5053,1501,0.3
district,FORT WORTH ISD,3,read,all,2025,2025,5005,1823,0.36
